,차량모델,차량번호,가격,연식,주행거리,연료,배기량,차종,색상,변속기,보험사고 이력
0,아우디 뉴 A3 40 TFSI 8V,43노4977,2150만원,18년 09월식,41687Km,가솔린,1984cc,준중형차,검정색,오토,0회
1,렉서스 RX450h 4세대 이그제큐티브,309구4623,7350만원,21년 03월식,31672Km,가솔린+전기,3456cc,SUV,검정색,오토,2회
2,아우디 뉴 A6 35 TDI 프리미엄 C7,11오4197,2200만원,15년 06월식 (16년형),125431Km,디젤,1968cc,중형차,흰색,오토,1회
3,벤츠 B-클래스 W246 B200 d,02누2483,2270만원,17년 12월식 (18년형),37221Km,디젤,2143cc,RV,은색,오토,0회
4,볼보 V40 크로스컨트리 D3,17라0366,2030만원,16년 07월식,77069Km,디젤,1969cc,SUV,검정색,오토,1회
5,벤츠 E-클래스 W213 E300 AMG Line,351우5350,5280만원,18년 12월식 (19년형),51642Km,가솔린,1991cc,중형차,검정색,오토,0회
6,아우디 뉴 A3 35 TDI 다이나믹 스포트백 8V,45구9695,1930만원,15년 02월식,39765Km,디젤,1968cc,준중형차,검정색,오토,1회
7,폭스바겐 티구안 2세대 2.0 TDI 프레스티지,287가4915,3190만원,20년 07월식,17733Km,디젤,1968cc,SUV,은색,오토,1회
8,벤츠 CLA-클래스 C117 CLA250 4MATIC,23루0166,2700만원,15년 09월식,35392Km,가솔린,1991cc,준중형차,은회색,오토,1회
9,BMW 5시리즈 (G30) 520i 럭셔리,143수8279,4159만원,18년 08월식,42975Km,가솔린,1998cc,중형차,검정색,오토,1회
10,BMW X5 (F15) xDrive 30d,52오1501,4140만원,17년 05월식,134186Km,디젤,2993cc,SUV,검정색,오토,1회
11,BMW 3시리즈 (F30) 320d,62더4106,2450만원,17년 03월식,48806Km,디젤,1995cc,준중형차,검정색,오토,5회
12,벤츠 GLA-클래스 X156 GLA220 프리미엄,14수7818,3630만원,19년 08월식,11165Km,가솔린,1991cc,SUV,검정색,오토,1회
